tribunal,siglaTribunal,dadosBasicos.orgaoJulgador.codigoOrgao,ocorrencia,valido,nao_valido,freq1,freq2,freq3,freq4
trf,TRF4,13866,1030,38,0,0,33,5,0
trf,TRF4,44445,2,2,0,0,2,0,0
trf,TRF4,44455,59,5,0,0,5,0,0
trf,TRF4,44458,51,10,0,0,10,0,0
trf,TRF4,12576,281,35,0,0,30,5,0
trf,TRF4,12625,140,16,0,0,13,3,0
trf,TRF4,18362,214,35,0,0,27,8,0
trf,TRF4,44538,369,23,0,3,18,2,0
trf,TRF4,44549,269,22,0,1,19,2,0
trf,TRF4,44528,320,21,0,3,18,0,0
trf,TRF4,44496,82,3,0,0,2,1,0
trf,TRF4,44531,272,13,0,1,12,0,0
trf,TRF4,44546,334,16,0,1,15,0,0
trf,TRF4,47245,128,3,0,0,2,1,0
trf,TRF4,53299,2,2,0,0,2,0,0
trf,TRF4,44446,10,3,0,0,3,0,0
trf,TRF4,44447,40,4,0,0,4,0,0
trf,TRF4,44456,1,1,0,0,1,0,0
trf,TRF4,17792,3675,17,0,0,7,6,4
trf,TRF4,44489,78,3,0,0,1,0,2
trf,TRF4,44503,3,3,0,0,1,0,2
trf,TRF4,44391,3,3,0,0,2,0,1
trf,TRF4,44480,58,16,0,0,12,2,2
trf,TRF4,53293,4,2,0,1,1,0,0
trf,TRF4,53294,46,2,0,0,2,0,0
trf,TRF4,53295,46,3,0,0,3,0,0
trf,TRF4,53296,11,1,0,0,1,0,0
trf,TRF4,53297,13,2,0,0,2,0,0
trf,TRF4,53292,3,1,0,0,1,0,0
trf,TRF4,44474,102,2,0,0,2,0,0
trf,TRF4,44478,8,3,0,0,2,0,1
trf,TRF4,44397,22,3,0,0,3,0,0
trf,TRF4,44508,2,1,0,0,1,0,0
trf,TRF4,44387,3,1,0,0,1,0,0
trf,TRF4,44389,6,1,0,0,1,0,0
trf,TRF4,44401,6,1,0,0,1,0,0
trf,TRF4,44403,2,1,0,0,1,0,0
trf,TRF4,44407,7,1,0,0,1,0,0
trf,TRF4,44410,6,1,0,0,1,0,0
trf,TRF4,44413,5,1,0,0,1,0,0
trf,TRF4,44417,1,1,0,0,1,0,0
trf,TRF4,44421,1,1,0,0,1,0,0
trf,TRF4,44423,2,1,0,0,1,0,0
trf,TRF4,44426,7,1,0,0,1,0,0
trf,TRF4,44430,4,1,0,0,1,0,0
trf,TRF4,44432,6,1,0,0,1,0,0
trf,TRF4,44440,8,1,0,0,1,0,0
trf,TRF4,44491,2,1,0,0,1,0,0
trf,TRF4,44495,5,1,0,0,1,0,0
trf,TRF4,44502,4,1,0,0,1,0,0
trf,TRF4,46153,6,1,0,0,1,0,0
trf,TRF4,44498,42,3,0,0,1,0,2
trf,TRF4,44506,33,3,0,0,1,0,2
trf,TRF4,44482,2,2,0,0,0,2,0
trf,TRF3,12488,638,38,0,1,21,12,4
trf,TRF3,12545,234,27,0,2,15,8,2
trf,TRF3,14004,450,17,0,1,6,10,0
trf,TRF3,12455,349,40,0,1,26,12,1
trf,TRF3,12458,239,31,0,1,16,13,1
trf,TRF3,12475,381,43,0,1,21,16,5
trf,TRF3,12949,291,36,0,0,24,10,2
trf,TRF3,12454,441,51,0,2,30,16,3
trf,TRF3,12456,245,36,0,1,21,13,1
trf,TRF3,12457,213,31,0,1,19,11,0
trf,TRF3,12460,446,53,0,2,31,18,2
trf,TRF3,12461,443,35,0,1,24,9,1
trf,TRF3,12462,172,22,0,0,16,6,0
trf,TRF3,12464,646,46,0,4,29,11,2
trf,TRF3,12471,296,35,0,2,22,9,2
trf,TRF3,12473,256,25,0,3,15,7,0
trf,TRF3,12476,409,50,0,3,28,14,5
trf,TRF3,12478,516,46,0,0,25,16,5
trf,TRF3,12479,401,42,0,0,25,11,6
trf,TRF3,12480,314,23,0,0,14,7,2
trf,TRF3,12482,326,38,0,0,24,12,2
trf,TRF3,12483,231,33,0,1,21,11,0
trf,TRF3,12484,230,27,0,1,17,8,1
trf,TRF3,12487,645,32,0,1,17,10,4
trf,TRF3,12490,222,37,0,2,17,13,5
trf,TRF3,12491,171,33,0,1,17,10,5
trf,TRF3,12492,115,19,0,0,11,6,2
trf,TRF3,12494,282,37,0,1,17,13,6
trf,TRF3,12495,253,37,0,0,19,11,7
trf,TRF3,12496,233,22,0,0,12,6,4
trf,TRF3,12498,421,37,0,0,17,16,4
trf,TRF3,12499,454,26,0,0,10,11,5
trf,TRF3,12500,259,23,0,1,11,7,4
trf,TRF3,12502,362,28,0,1,14,13,0
